event_name,start_date,end_date,tag,notes
debt_ceiling_2011,2011-06-01,2011-08-31,debt_ceiling,2011 debt ceiling crisis — resolved Aug 2 with Budget Control Act
debt_ceiling_2013_feb,2013-01-01,2013-02-28,debt_ceiling,2013 debt ceiling — Feb 4 suspension
debt_ceiling_2013_oct,2013-10-01,2013-10-31,debt_ceiling_shutdown,2013 government shutdown + debt ceiling — resolved Oct 16-17
debt_ceiling_2015,2015-10-01,2015-11-30,debt_ceiling,2015 debt ceiling — Nov 2 Bipartisan Budget Act suspension
debt_ceiling_2017,2017-03-01,2017-09-30,debt_ceiling,2017 debt ceiling — reinstated Mar 16 after 2015 suspension expired
debt_ceiling_2019,2019-03-01,2019-08-31,debt_ceiling,2019 debt ceiling — reinstated Mar 2 after 2018 suspension expired
debt_ceiling_2021,2021-07-01,2021-12-31,debt_ceiling,2021 debt ceiling — reinstated Aug 1; resolved Dec 16
debt_ceiling_2023,2023-01-01,2023-06-30,debt_ceiling,2023 debt ceiling crisis — extraordinary measures Jan-Jun; resolved Jun 3 Fiscal Responsibility Act
debt_ceiling_2025,2025-01-01,2025-03-31,debt_ceiling,2025 debt ceiling — reinstated Jan 2 after 2023 suspension expired
covid_fiscal,2020-03-01,2020-07-31,covid_fiscal,COVID-era CARES Act massive Treasury issuance and TGA buildup
qt_era,2022-03-01,2022-12-31,qt_era,Fed quantitative tightening begins — reserve drain accelerates
post_debt_ceiling_2023_refill,2023-06-05,2023-08-31,post_debt_ceiling,Post-debt-ceiling TGA rebuild after Fiscal Responsibility Act
